,Temp,Lat,Humidity,Clouds,Wind,abs_Lat
"kyshtovka,ru",43.96,56.56,79,0,5.21,56.56
"noshiro,jp",78.06,40.21,78,75,3.36,40.21
"cidreira,br",48.91,-30.17,87,0,9.46,30.17
"bethel,us",51.8,60.79,100,90,18.34,60.79
"cape town,za",41.0,-33.93,93,0,3.36,33.93
"barrow,us",81.59,39.51,61,1,3.36,39.51
"ponta do sol,cv",74.74,17.2,100,0,12.03,17.2
"crotone,it",80.5,39.09,98,0,11.25,39.09
"hobart,au",41.0,-42.88,75,0,8.05,42.88
"poum,nc",73.03,-20.23,100,0,8.01,20.23
"provideniya,ru",53.6,64.42,87,90,6.71,64.42
"ystad,se",64.53,55.43,88,0,9.17,55.43
"santiago del estero,ar",53.77,-27.8,57,12,8.79,27.8
"pontianak,id",73.4,-0.02,100,40,3.36,0.02
"lorengau,pg",84.64,-2.02,96,24,8.34,2.02
"ormara,pk",79.51,25.21,95,92,10.36,25.21
"katherine,au",77.0,-14.47,57,0,8.05,14.47
"cherskiy,ru",58.81,68.75,54,8,4.32,68.75
"kodiak,us",87.8,39.95,33,1,10.29,39.95
"chuy,uy",44.77,-33.69,89,88,7.45,33.69
"chokurdakh,ru",46.66,70.62,100,88,5.55,70.62
"ginir,et",63.13,7.14,69,20,6.22,7.14
"sokoto,ng",78.97,13.06,78,32,7.56,13.06
"port elizabeth,za",55.4,-33.92,87,0,16.11,33.92
"tasiilaq,gl",44.6,65.61,87,64,8.05,65.61
"coahuayana,mx",76.36,18.62,77,8,2.42,18.62
"soria,es",60.34,41.76,89,0,2.19,41.76
"haines junction,ca",72.31,60.75,34,0,3.09,60.75
"tirnavos,gr",68.89,39.74,91,20,1.19,39.74
"sovetskiy,ru",61.51,56.76,80,0,6.67,56.76
"ruzomberok,sk",63.12,49.07,88,20,2.19,49.07
"griffith,au",50.26,-34.29,88,0,9.24,34.29
"carnarvon,au",64.3,-24.87,88,32,22.77,24.87
"wilhelmsburg,at",64.93,48.11,96,0,1.63,48.11
"ancud,cl",42.61,-41.87,97,48,1.74,41.87
"pangoa,pe",64.57,-12.12,97,80,1.41,12.12
"bridlington,gb",65.19,54.08,77,80,6.93,54.08
"baryatino,ru",58.45,54.31,90,0,2.42,54.31
"minyar,ru",55.66,55.07,88,32,2.42,55.07
"rio cuarto,ar",48.01,-33.13,54,12,12.37,33.13
"castro,cl",40.09,-42.48,100,36,2.64,42.48
"bajil,ye",80.59,15.06,61,0,3.76,15.06
"rajpipla,in",76.99,21.87,96,56,10.25,21.87
"tatui,br",54.31,-23.36,95,36,12.48,23.36
"lebu,cl",49.99,-37.62,100,0,14.38,37.62
"alofi,nu",78.8,-19.06,69,40,2.24,19.06
"mengcheng,cn",86.26,33.26,85,0,5.44,33.26
"cap malheureux,mu",68.0,-19.98,88,40,5.82,19.98
"georgetown,sh",74.83,-7.93,100,92,16.17,7.93
"saldanha,za",44.6,-33.01,87,8,2.24,33.01
"shimoda,jp",82.4,34.7,88,40,9.17,34.7
"aykhal,ru",54.4,65.95,70,0,3.98,65.95
"svetlogorsk,ru",57.2,53.14,82,20,6.71,53.14
"buala,sb",82.57,-8.15,88,76,8.01,8.15
"shetpe,kz",80.59,44.14,25,32,9.46,44.14
"matara,lk",76.81,5.95,100,92,8.46,5.95
"banda aceh,id",72.76,5.56,100,0,2.86,5.56
"padang,id",78.43,-0.92,100,88,4.09,0.92
"kysyl-syr,ru",59.53,63.9,86,0,3.65,63.9
"sterling,us",82.89,39.0,69,40,9.17,39.0
"dingle,ie",62.05,52.14,98,92,15.84,52.14
"longyearbyen,sj",53.6,78.22,81,0,3.36,78.22
"margate,za",63.85,-30.86,79,12,17.52,30.86
"tuatapere,nz",46.75,-46.13,100,80,6.22,46.13
"awbari,ly",85.09,26.59,23,12,7.34,26.59
"pavlogradka,ru",56.29,54.2,84,48,6.11,54.2
"grand gaube,mu",68.0,-20.01,88,40,5.82,20.01
"shieli,kz",61.87,44.18,71,36,3.31,44.18
"vradiyivka,ua",66.91,47.86,74,0,9.35,47.86
"nushki,pk",59.89,29.55,28,0,4.21,29.55
"ashtian,ir",65.74,34.52,36,0,4.21,34.52
"faanui,pf",77.53,-16.48,100,68,7.9,16.48
"necochea,ar",41.53,-38.55,74,0,9.46,38.55
"gravelbourg,ca",80.68,49.88,48,0,11.48,49.88
"isangel,vu",73.21,-19.55,100,0,11.25,19.55
"kungurtug,ru",51.97,50.6,90,56,2.19,50.6
"potenza,it",68.0,40.64,68,0,5.82,40.64
"portland,au",47.83,-33.35,65,0,2.98,33.35
"aasiaat,gl",41.53,68.71,100,92,12.82,68.71
"hereford,gb",59.71,52.06,82,24,9.57,52.06
"ukiah,us",95.0,39.15,8,1,6.93,39.15
"trairi,br",79.96,-3.28,98,92,19.53,3.28
"lavrentiya,ru",49.72,65.58,95,100,3.31,65.58
"khilok,ru",57.64,51.36,99,92,3.53,51.36
"havre-saint-pierre,ca",71.6,50.23,73,1,4.7,50.23
"lensk,ru",57.01,60.71,79,0,3.31,60.71
"vardo,no",72.99,70.37,60,20,17.22,70.37
"surt,ly",76.54,31.21,100,0,5.99,31.21
"scarborough,tt",77.0,11.18,88,40,17.07,11.18
"great yarmouth,gb",62.6,52.61,82,12,6.93,52.61
"sorland,no",58.63,67.67,96,0,12.26,67.67
"mezhdurechenskiy,ru",45.49,59.59,79,0,2.42,59.59
"sur,om",88.51,22.57,78,0,9.69,22.57
"arroyo,us",72.82,41.39,73,20,10.29,41.39
"hendek,tr",69.8,40.8,100,20,0.63,40.8
"paciran,id",72.67,-6.9,75,12,10.47,6.9
"bambanglipuro,id",67.81,-7.95,87,12,4.21,7.95
"humberto de campos,br",80.14,-2.6,93,20,14.16,2.6
"ingham,au",71.14,-18.65,93,0,10.47,18.65
"muros,es",64.4,42.77,93,0,5.82,42.77
"mongo,td",71.41,12.18,93,88,4.32,12.18
"ponta do sol,pt",69.8,32.67,68,40,6.93,32.67
"salalah,om",75.2,17.01,100,90,2.24,17.01
"sirari,tz",60.16,-1.23,100,12,3.87,1.23
"northam,au",44.6,-31.65,93,75,5.82,31.65
"auki,sb",80.41,-8.77,100,56,7.67,8.77
"mattru,sl",69.79,7.62,94,12,2.42,7.62
"ust-tsilma,ru",50.44,65.44,60,76,4.43,65.44
"coihaique,cl",41.41,-45.58,56,20,4.7,45.58
"mae sai,th",73.4,20.43,100,40,1.74,20.43
"tateyama,jp",89.6,36.66,59,40,2.24,36.66
"huilong,cn",80.77,31.15,81,76,7.67,31.15
"viedma,ar",35.23,-40.81,83,0,2.86,40.81
"mandiana,gn",69.07,10.62,99,92,3.98,10.62
"baykit,ru",42.97,61.68,99,44,3.98,61.68
"karratha,au",57.73,-20.74,51,0,16.28,20.74
"wakkanai,jp",75.2,45.41,78,75,6.93,45.41
"flinders,au",53.6,-34.58,87,0,8.05,34.58
"porto novo,cv",77.0,17.02,73,75,16.11,17.02
"kaitangata,nz",49.09,-46.28,90,44,8.79,46.28
"cockburn town,bs",82.84,24.03,95,80,17.74,24.03
"yantai,cn",83.47,37.53,87,0,3.65,37.53
"misratah,ly",75.91,32.38,99,0,7.67,32.38
"dubbo,au",51.8,-32.25,57,0,10.29,32.25
"ternate,id",80.41,0.8,100,80,15.39,0.8
"bom conselho,br",65.92,-9.17,98,88,9.01,9.17
"lagoa,pt",86.0,37.14,28,0,12.75,37.14
"port-gentil,ga",73.4,-0.72,88,40,5.82,0.72
"benghazi,ly",81.31,32.12,98,0,9.8,32.12
"sibolga,id",67.27,1.74,100,12,2.08,1.74
"klyuchi,ru",56.74,52.25,83,12,4.09,52.25
"krasnogorsk,ru",62.15,55.82,82,0,2.24,55.82
"goma,cd",56.83,-1.67,100,48,0.96,1.67
"pangody,ru",42.88,65.85,76,76,17.85,65.85
"dargaville,nz",58.27,-35.94,98,0,7.67,35.94
"kahului,us",84.07,20.89,55,40,26.4,20.89
"geraldton,au",53.6,-28.77,66,40,21.92,28.77
"kenora,ca",62.6,49.76,48,40,5.82,49.76
"smithers,ca",84.2,54.78,28,40,4.7,54.78
"caucaia,br",78.8,-3.73,83,75,10.29,3.73
"pimentel,pe",66.64,-6.84,83,8,4.99,6.84
"kavieng,pg",77.89,-2.57,100,88,4.99,2.57
"pestovo,ru",61.99,55.36,72,0,2.24,55.36
"sambrial,pk",77.71,32.48,87,20,5.77,32.48
"el carmen,bo",74.47,-12.59,78,0,1.74,12.59
"mount gambier,au",50.8,-37.83,83,8,11.92,37.83
"voh,nc",72.49,-20.95,97,0,7.56,20.95
"shinpokh,pk",86.0,34.33,58,1,1.12,34.33
"panji,id",74.47,-0.41,95,80,2.75,0.41
"nouadhibou,mr",69.8,20.93,77,0,16.11,20.93
"port lincoln,au",62.23,-34.72,71,76,36.86,34.72
"visnes,no",62.35,59.36,77,68,11.41,59.36
"khingansk,ru",68.44,49.12,64,36,3.2,49.12
"merauke,id",79.06,-8.49,87,76,15.5,8.49
"vao,nc",70.15,-22.67,100,80,7.56,22.67
"oktyabrskiy,ru",62.15,55.61,72,0,2.24,55.61
"kaeo,nz",59.44,-35.1,89,20,5.99,35.1
"torbay,ca",73.4,47.66,56,75,12.75,47.66
"pampas,pe",41.53,-12.4,81,92,0.85,12.4
"damaturu,ng",69.61,11.75,94,12,11.7,11.75
"boende,cd",69.43,-0.28,99,48,1.97,0.28
"gold coast,au",68.0,-28.0,52,0,11.41,28.0
"nikolskoye,ru",68.0,59.7,72,0,2.24,59.7
"georgiyevka,kz",56.2,43.04,85,20,2.42,43.04
"khandbari,np",44.59,27.38,67,76,1.86,27.38
"humboldt,ca",72.49,52.21,63,0,7.11,52.21
"egvekinot,ru",60.61,66.32,66,92,9.01,66.32
"ahipara,nz",58.09,-35.17,91,56,8.12,35.17
"lufilufi,ws",86.0,-13.87,70,75,5.82,13.87
"durban,za",68.17,-29.86,99,48,19.08,29.86
"san patricio,mx",80.59,19.22,94,48,2.42,19.22
"cangzhou,cn",86.35,38.3,80,0,4.65,38.3
"baymak,ru",54.4,52.6,86,8,4.43,52.6
"farah,af",76.09,32.37,24,0,9.8,32.37
"bubaque,gw",75.2,11.28,94,40,10.69,11.28
"allapalli,in",72.31,19.43,100,92,9.01,19.43
"linkebeek,be",66.22,50.77,68,0,3.36,50.77
"pacific grove,us",68.63,36.62,77,40,11.41,36.62
"aksarka,ru",37.21,66.56,87,48,4.21,66.56
"sao miguel do araguaia,br",72.31,-13.28,77,0,2.75,13.28
"norman wells,ca",71.6,65.28,56,20,5.82,65.28
"leningradskiy,ru",43.69,69.38,84,8,13.71,69.38
"ugoofaaru,mv",83.29,5.67,97,76,6.67,5.67
"fortuna,us",60.64,40.6,77,40,13.87,40.6
"paamiut,gl",40.27,61.99,98,92,0.85,61.99
"bull savanna,jm",79.69,17.89,79,0,3.65,17.89
"victoria,sc",77.0,-4.62,83,100,6.93,4.62
"yuzhno-kurilsk,ru",62.32,44.03,91,44,2.3,44.03
"dawei,mm",70.51,14.07,100,92,2.42,14.07
"borculo,nl",59.0,52.11,87,40,6.78,52.11
"spokane,us",91.04,47.66,10,1,12.75,47.66
"zarechnyy,ru",63.49,60.99,60,20,7.67,60.99
"urcos,pe",34.06,-13.69,89,32,2.19,13.69
"makakilo city,us",85.57,21.35,58,40,17.22,21.35
"port blair,in",82.12,11.67,100,92,22.77,11.67
"peru,us",79.38,41.33,61,1,6.93,41.33
"muncar,id",74.74,-8.43,90,88,9.91,8.43
"caarapo,br",63.31,-22.63,66,92,4.21,22.63
"inirida,co",76.99,3.87,87,12,3.2,3.87
"morondava,mg",59.08,-20.3,100,0,4.21,20.3
"alice springs,au",71.6,-23.7,11,0,21.92,23.7
"tiksi,ru",49.36,71.64,81,24,8.46,71.64
"cairns,au",75.2,-16.92,69,40,11.41,16.92
"kristiansund,no",61.61,63.12,72,92,4.7,63.12
"bathsheba,bb",80.6,13.22,74,20,20.8,13.22
"coquimbo,cl",50.0,-29.95,81,40,5.82,29.95
"pandan,ph",75.82,11.72,100,92,13.82,11.72
"lima,pe",60.52,-12.06,72,36,2.64,12.06
"mingshui,cn",79.96,22.81,90,64,4.65,22.81
"barguzin,ru",61.69,53.62,71,76,2.64,53.62
"beringovskiy,ru",52.06,63.05,98,44,5.99,63.05
"sao filipe,cv",77.17,14.9,98,0,4.43,14.9
"tres arroyos,ar",45.04,-38.38,55,8,7.9,38.38
"banjarmasin,id",73.4,-3.32,94,88,3.42,3.32
"lubao,cd",74.11,-5.39,72,24,7.45,5.39
"honningsvag,no",60.16,70.98,89,32,20.98,70.98
"tautira,pf",78.8,-17.73,78,75,8.05,17.73
"muswellbrook,au",52.69,-32.27,74,0,3.65,32.27
"palmer,us",64.17,61.6,77,90,1.63,61.6
"te anau,nz",40.27,-45.41,99,80,2.98,45.41
"cabo san lucas,mx",87.8,22.89,48,5,10.29,22.89
"karoi,zw",55.12,-16.82,56,0,7.67,16.82
"mogadishu,so",77.17,2.04,100,92,17.85,2.04
"berlevag,no",71.65,70.86,77,0,4.7,70.86
"santa rita,br",78.61,-7.13,86,92,13.04,7.13
"coolum beach,au",64.66,-26.53,89,0,4.76,26.53
"amambai,br",62.77,-23.11,70,88,3.31,23.11
"luderitz,na",50.17,-26.65,89,0,7.0,26.65
"nangong,cn",88.78,37.36,66,20,4.09,37.36
"warkworth,nz",59.0,-36.4,77,0,8.05,36.4
"provost,ca",87.16,52.35,32,12,14.94,52.35
"yulara,au",60.8,-25.24,77,75,18.34,25.24
"berdigestyakh,ru",57.19,62.1,81,12,3.76,62.1
"dickinson,us",75.2,46.88,44,1,5.21,46.88
"nanortalik,gl",40.54,60.14,100,92,13.71,60.14
"tilichiki,ru",51.34,60.47,100,88,3.76,60.47
"grindavik,is",51.8,63.84,87,75,10.29,63.84
"ahar,ir",53.77,38.48,95,0,2.19,38.48
"meulaboh,id",77.35,4.14,100,20,3.31,4.14
"yerofey pavlovich,ru",64.12,53.97,72,12,3.65,53.97
"black river,jm",84.2,18.03,79,20,12.75,18.03
"gizycko,pl",68.89,54.04,88,0,2.53,54.04
"honiara,sb",77.0,-9.43,94,75,10.29,9.43
"ust-maya,ru",55.03,60.42,87,24,6.78,60.42
"neuquen,ar",44.6,-38.95,72,0,3.31,38.95
"ialibu,pg",62.14,-6.28,91,24,1.3,6.28
"tabou,ci",77.26,4.42,100,0,9.69,4.42
"bilibino,ru",59.26,68.06,64,20,4.43,68.06
"kalmunai,lk",73.66,7.42,96,24,4.99,7.42
"college,us",61.2,64.86,72,90,12.75,64.86
"teya,ru",43.51,60.37,82,12,3.31,60.37
"mayumba,ga",68.17,-3.44,98,88,5.77,3.44
"constitucion,mx",75.2,23.99,47,75,8.05,23.99
"bulgan,mn",57.91,48.81,99,88,3.98,48.81
"steinbach,ca",62.6,49.53,51,20,3.36,49.53
"leshan,cn",70.96,29.56,100,92,4.76,29.56
"basudebpur,in",79.87,21.14,100,24,13.27,21.14
"bilma,ne",87.52,18.69,34,0,9.24,18.69
"el vigia,ve",68.0,8.62,88,75,1.63,8.62
"west bay,ky",86.0,19.37,74,20,4.7,19.37
"atar,mr",79.96,20.52,28,0,4.09,20.52
"upernavik,gl",41.17,72.79,90,36,3.65,72.79
"hofn,is",50.44,64.25,97,48,13.04,64.25
"winnemucca,us",93.73,40.97,11,64,6.11,40.97
"vostok,ru",67.72,46.45,79,0,2.75,46.45
"clarence town,bs",81.49,23.1,100,76,16.51,23.1
"pa sang,th",73.99,18.53,94,40,3.36,18.53
"kruisfontein,za",54.22,-34.0,86,20,9.35,34.0
"zapolyarnyy,ru",73.4,69.43,69,0,12.75,69.43
"havoysund,no",59.0,71.0,87,40,8.05,71.0
"mitu,co",71.68,1.2,97,0,2.19,1.2
"broome,au",75.2,-17.97,53,20,14.99,17.97
"dzaoudzi,yt",73.4,-12.79,88,0,3.36,12.79
"la asuncion,ve",74.2,11.03,100,100,17.96,11.03
"schalksmuhle,de",64.99,51.23,68,20,3.36,51.23
"tromso,no",59.0,69.65,87,75,21.92,69.65
"touros,br",78.79,-5.2,80,64,13.38,5.2
"bawku,gh",76.09,11.06,79,8,5.1,11.06
"teguldet,ru",43.87,57.31,87,36,2.42,57.31
"nevel,ru",59.53,56.02,87,0,2.75,56.02
"qeshm,ir",88.74,26.96,84,92,4.7,26.96
"zavetnoye,ru",74.56,47.12,32,76,13.04,47.12
"toul,fr",64.4,48.68,93,0,4.7,48.68
"naze,jp",78.8,28.37,88,75,26.4,28.37
"quatre cocos,mu",68.0,-20.21,88,40,5.82,20.21
"waipawa,nz",57.37,-39.94,55,0,4.09,39.94
"waterloo,sl",78.8,8.34,78,75,5.82,8.34
"fougamou,ga",69.97,-1.22,90,80,3.76,1.22
"nuuk,gl",39.2,64.17,100,92,9.17,64.17
"sobolevo,ru",57.19,54.43,83,0,2.75,54.43
"harper,lr",77.17,4.38,100,8,8.79,4.38
"coruripe,br",77.8,-10.12,93,88,12.03,10.12
"yar-sale,ru",42.88,66.83,100,64,16.06,66.83
"leeton,au",48.28,-34.55,93,0,8.79,34.55
"mount isa,au",66.2,-20.73,19,0,4.7,20.73
"sandnessjoen,no",57.2,66.02,100,8,4.7,66.02
"souillac,mu",68.0,-20.52,88,40,5.82,20.52
"niksic,me",75.24,42.77,78,0,2.24,42.77
"luang prabang,la",73.03,19.89,90,76,2.42,19.89
"iralaya,hn",84.2,15.0,74,20,5.82,15.0
"kiboga,ug",60.25,0.92,92,24,2.86,0.92
"komsomolskiy,ru",39.01,67.55,74,64,2.98,67.55
"chitral,pk",35.86,35.85,58,0,1.07,35.85
"gayeri,bf",79.96,12.65,73,20,8.12,12.65
"shenjiamen,cn",83.65,29.96,89,48,15.28,29.96
"gibara,cu",82.4,21.11,69,20,16.11,21.11
"moose factory,ca",51.8,51.26,57,20,10.29,51.26
"batagay,ru",64.57,67.65,61,12,5.44,67.65
"serra,br",68.89,-20.13,100,100,9.91,20.13
"chiredzi,zw",55.39,-21.05,45,0,4.76,21.05
"high level,ca",80.6,58.52,34,75,5.82,58.52
"udachnyy,ru",53.86,66.42,78,0,3.31,66.42
"broken hill,au",56.11,-31.97,58,0,14.94,31.97
"luganville,vu",77.44,-15.51,100,100,13.15,15.51
"kyra,ru",59.53,49.58,92,92,3.42,49.58
"nueva helvecia,uy",37.21,-34.28,72,0,7.0,34.28
"dukat,ru",48.64,62.55,98,92,3.65,62.55
"friendswood,us",91.4,29.53,34,1,5.82,29.53
"namtsy,ru",59.8,62.72,74,0,7.56,62.72
"melito di porto salvo,it",80.6,37.92,88,0,4.7,37.92
"french harbor,hn",84.2,16.35,83,20,25.28,16.35
"brae,gb",57.2,60.4,76,92,10.29,60.4
"richards bay,za",64.21,-28.77,77,36,10.02,28.77
"teguise,es",71.6,29.06,73,20,18.34,29.06
"washington,us",84.11,38.9,66,20,9.17,38.9
"guerrero negro,mx",78.43,27.97,66,36,12.48,27.97
"punta umbria,es",75.73,37.18,58,8,13.27,37.18
"kamaishi,jp",80.6,39.28,74,75,3.36,39.28
"medea,dz",73.4,36.27,88,20,3.36,36.27
"paita,pe",71.95,-5.09,69,56,8.23,5.09
"port augusta,au",68.0,-32.49,28,0,29.97,32.49
"ust-charyshskaya pristan,ru",51.88,52.39,84,0,2.75,52.39
"ixtapa,mx",87.8,20.71,79,75,11.41,20.71
"ponta delgada,pt",69.8,37.73,83,20,3.36,37.73
"oranjestad,aw",82.4,12.52,74,20,21.92,12.52
"palauig,ph",77.26,15.44,100,88,4.21,15.44
"is,ru",56.74,58.79,90,92,4.43,58.79
"darnah,ly",78.97,32.77,100,0,10.92,32.77
"ormstown,ca",77.88,45.13,74,90,13.87,45.13
"rocha,uy",37.3,-34.48,84,24,5.44,34.48
"pozo colorado,py",57.28,-23.49,62,0,8.68,23.49
"juli,pe",42.97,-16.21,85,92,1.19,16.21
"ciechocinek,pl",68.0,52.88,88,0,2.24,52.88
"destin,us",75.92,30.39,88,20,4.76,30.39
"abrau-dyurso,ru",77.0,44.7,61,8,15.66,44.7
"sunnyside,us",98.69,46.32,14,1,8.05,46.32
"bandarbeyla,so",74.47,9.49,84,0,28.25,9.49
"cabedelo,br",75.2,-6.97,83,40,5.82,6.97
"shuiji,cn",80.41,27.42,84,12,2.98,27.42
"the valley,ai",82.4,18.22,69,20,12.75,18.22
"mandalgovi,mn",68.08,45.76,81,88,8.12,45.76
"petropavlovsk-kamchatskiy,ru",57.2,53.05,100,90,8.95,53.05
"bogorodskoye,ru",60.16,52.37,73,0,9.91,52.37
"banff,ca",70.06,51.18,36,20,2.42,51.18
"manzhouli,cn",70.24,49.6,59,68,14.27,49.6
"kailua,us",85.59,21.39,66,75,12.75,21.39
"tias,es",71.6,28.96,73,20,18.34,28.96
"trincomalee,lk",78.88,8.58,80,64,14.83,8.58
"jinchang,cn",68.08,38.52,73,80,2.98,38.52
"tshikapa,cd",71.32,-6.42,76,0,3.09,6.42
"mwingi,ke",60.97,-0.93,87,32,6.22,0.93
"husavik,is",50.0,66.04,81,40,3.36,66.04
